,CCY,SIGNAL,TYPE,Date
2017-02-23,MRN+1M Curncy,SELL,ENGULF,Today
2017-02-23,GBPNZD Curncy,BUY,HAMMER,Today
2017-02-23,MRN+1M Curncy,SELL,INSIDEBAR,Today
2017-02-23,USDJPY Curncy,SELL,ENGULF,Today
2017-02-23,USDCNH Curncy,SELL,INSIDEBAR,Today
2017-02-23,AUDNZD Curncy,SELL,INSIDEBAR,Today
2017-02-23,GBPUSD Curncy,BUY,ENGULF,Today
2017-02-22,NZDCAD Curncy,BUY,ENGULF,1 day(s) ago
2017-02-22,NZDCAD Curncy,BUY,HAMMER,1 day(s) ago
2017-02-22,AUDNZD Curncy,SELL,HAMMER,1 day(s) ago
2017-02-22,GBPNZD Curncy,SELL,HAMMER,1 day(s) ago
2017-02-22,GBPAUD Curncy,SELL,HAMMER,1 day(s) ago
2017-02-22,GBPAUD Curncy,SELL,INSIDEBAR,1 day(s) ago
2017-02-22,EURJPY Curncy,BUY,HAMMER,1 day(s) ago
2017-02-22,EURGBP Curncy,BUY,HAMMER,1 day(s) ago
2017-02-22,GBPCHF Curncy,SELL,HAMMER,1 day(s) ago
2017-02-21,USDSGD Curncy,BUY,INSIDEBAR,2 day(s) ago
2017-02-21,EURNZD Curncy,SELL,HAMMER,2 day(s) ago
2017-02-21,GBPNZD Curncy,BUY,INSIDEBAR,2 day(s) ago
2017-02-21,EURGBP Curncy,SELL,ENGULF,2 day(s) ago
2017-02-21,EURAUD Curncy,SELL,ENGULF,2 day(s) ago
2017-02-21,USDJPY Curncy,BUY,INSIDEBAR,2 day(s) ago
2017-02-21,AUDNZD Curncy,BUY,INSIDEBAR,2 day(s) ago
2017-02-21,NTN+1M Curncy,SELL,HAMMER,2 day(s) ago
2017-02-21,USDCAD Curncy,BUY,INSIDEBAR,2 day(s) ago
2017-02-21,ES1 INDEX,BUY,INSIDEBAR,2 day(s) ago
2017-02-21,GBPCHF Curncy,BUY,ENGULF,2 day(s) ago
2017-02-17,AUDUSD Curncy,SELL,HAMMER,6 day(s) ago
2017-02-17,EURJPY Curncy,SELL,ENGULF,6 day(s) ago
2017-02-17,KWN+1M Curncy,BUY,INSIDEBAR,6 day(s) ago
2017-02-17,NTN+1M Curncy,BUY,INSIDEBAR,6 day(s) ago
2017-02-17,EURJPY Curncy,SELL,HAMMER,6 day(s) ago
2017-02-16,PPN+1M Curncy,BUY,HAMMER,7 day(s) ago
2017-02-16,GBPCHF Curncy,SELL,ENGULF,7 day(s) ago
2017-02-16,USDCHF Curncy,SELL,ENGULF,7 day(s) ago
2017-02-16,GBPCHF Curncy,SELL,INSIDEBAR,7 day(s) ago
2017-02-16,AUDJPY Curncy,SELL,ENGULF,7 day(s) ago
2017-02-16,USDJPY Curncy,SELL,INSIDEBAR,7 day(s) ago
2017-02-16,NZDJPY Curncy,SELL,ENGULF,7 day(s) ago
2017-02-16,EURUSD Curncy,BUY,ENGULF,7 day(s) ago
2017-02-16,EURCAD Curncy,BUY,ENGULF,7 day(s) ago
2017-02-16,EURUSD Curncy,BUY,INSIDEBAR,7 day(s) ago
2017-02-16,EURGBP Curncy,BUY,INSIDEBAR,7 day(s) ago
2017-02-16,CADJPY Curncy,SELL,INSIDEBAR,7 day(s) ago
2017-02-16,EURAUD Curncy,BUY,ENGULF,7 day(s) ago
2017-02-16,EURNZD Curncy,BUY,ENGULF,7 day(s) ago
2017-02-16,USDCAD Curncy,BUY,HAMMER,7 day(s) ago
2017-02-16,XAUUSD Curncy,BUY,INSIDEBAR,7 day(s) ago
2017-02-16,USDCHF Curncy,SELL,INSIDEBAR,7 day(s) ago
2017-02-15,NZDJPY Curncy,BUY,INSIDEBAR,8 day(s) ago
2017-02-15,NZDJPY Curncy,BUY,ENGULF,8 day(s) ago
2017-02-15,ES1 INDEX,BUY,ENGULF,8 day(s) ago
2017-02-15,AUDCAD Curncy,BUY,INSIDEBAR,8 day(s) ago
2017-02-15,GBPUSD Curncy,BUY,HAMMER,8 day(s) ago
2017-02-15,EURUSD Curncy,BUY,HAMMER,8 day(s) ago
2017-02-15,AUDCAD Curncy,BUY,ENGULF,8 day(s) ago
2017-02-15,NZDUSD Curncy,BUY,ENGULF,8 day(s) ago
2017-02-15,NZDUSD Curncy,BUY,HAMMER,8 day(s) ago
2017-02-15,EURNZD Curncy,SELL,INSIDEBAR,8 day(s) ago
2017-02-15,XAUUSD Curncy,BUY,HAMMER,8 day(s) ago
2017-02-15,NZDCAD Curncy,BUY,ENGULF,8 day(s) ago
2017-02-15,USDCHF Curncy,SELL,HAMMER,8 day(s) ago
2017-02-15,GBPNZD Curncy,SELL,INSIDEBAR,8 day(s) ago
2017-02-14,IHN+1M Curncy,SELL,HAMMER,9 day(s) ago
2017-02-14,AUDNZD Curncy,BUY,INSIDEBAR,9 day(s) ago
2017-02-14,KWN+1M Curncy,SELL,INSIDEBAR,9 day(s) ago
2017-02-14,EURCHF Curncy,SELL,INSIDEBAR,9 day(s) ago
2017-02-14,CCN+1M Curncy,SELL,INSIDEBAR,9 day(s) ago
2017-02-14,AUDJPY Curncy,BUY,ENGULF,9 day(s) ago
2017-02-13,MRN+1M Curncy,BUY,INSIDEBAR,10 day(s) ago
2017-02-13,AUDJPY Curncy,SELL,HAMMER,10 day(s) ago
2017-02-13,EURJPY Curncy,SELL,HAMMER,10 day(s) ago
2017-02-13,GBPCHF Curncy,BUY,ENGULF,10 day(s) ago
2017-02-13,GBPCHF Curncy,BUY,INSIDEBAR,10 day(s) ago
2017-02-13,AUDCAD Curncy,SELL,ENGULF,10 day(s) ago
2017-02-13,EURGBP Curncy,SELL,INSIDEBAR,10 day(s) ago
2017-02-13,EURGBP Curncy,SELL,ENGULF,10 day(s) ago
2017-02-10,USDCHF Curncy,SELL,HAMMER,13 day(s) ago
2017-02-10,EURJPY Curncy,SELL,HAMMER,13 day(s) ago
2017-02-10,EURAUD Curncy,SELL,INSIDEBAR,13 day(s) ago
2017-02-10,KWN+1M Curncy,SELL,HAMMER,13 day(s) ago
2017-02-09,USDCHF Curncy,BUY,INSIDEBAR,14 day(s) ago
2017-02-09,USDCHF Curncy,BUY,ENGULF,14 day(s) ago
2017-02-09,AUDJPY Curncy,BUY,ENGULF,14 day(s) ago
2017-02-09,USDJPY Curncy,BUY,ENGULF,14 day(s) ago
2017-02-09,AUDJPY Curncy,BUY,INSIDEBAR,14 day(s) ago
2017-02-09,USDSGD Curncy,BUY,INSIDEBAR,14 day(s) ago
2017-02-09,MRN+1M Curncy,BUY,INSIDEBAR,14 day(s) ago
2017-02-09,EURJPY Curncy,BUY,ENGULF,14 day(s) ago
2017-02-09,GBPAUD Curncy,SELL,HAMMER,14 day(s) ago
2017-02-09,NZDJPY Curncy,BUY,HAMMER,14 day(s) ago
2017-02-09,GBPUSD Curncy,SELL,HAMMER,14 day(s) ago
2017-02-09,ES1 INDEX,BUY,INSIDEBAR,14 day(s) ago
2017-02-09,USDJPY Curncy,BUY,INSIDEBAR,14 day(s) ago
2017-02-08,AUDNZD Curncy,BUY,ENGULF,15 day(s) ago
2017-02-08,EURNZD Curncy,BUY,HAMMER,15 day(s) ago
2017-02-07,GBPNZD Curncy,BUY,HAMMER,16 day(s) ago
2017-02-07,GBPCHF Curncy,BUY,ENGULF,16 day(s) ago
2017-02-07,NZDUSD Curncy,SELL,HAMMER,16 day(s) ago
2017-02-07,GBPUSD Curncy,BUY,HAMMER,16 day(s) ago
2017-02-07,EURGBP Curncy,SELL,INSIDEBAR,16 day(s) ago
2017-02-07,AUDNZD Curncy,BUY,HAMMER,16 day(s) ago
2017-02-07,MRN+1M Curncy,BUY,INSIDEBAR,16 day(s) ago
2017-02-07,EURGBP Curncy,SELL,ENGULF,16 day(s) ago
2017-02-07,CCN+1M Curncy,BUY,INSIDEBAR,16 day(s) ago
2017-02-07,USDCNH Curncy,BUY,ENGULF,16 day(s) ago
2017-02-07,USDCNH Curncy,BUY,INSIDEBAR,16 day(s) ago
2017-02-07,GBPJPY Curncy,BUY,HAMMER,16 day(s) ago
2017-02-07,GBPAUD Curncy,BUY,INSIDEBAR,16 day(s) ago
2017-02-07,GBPAUD Curncy,BUY,HAMMER,16 day(s) ago
2017-02-06,AUDCAD Curncy,BUY,INSIDEBAR,17 day(s) ago
2017-02-06,CADJPY Curncy,SELL,INSIDEBAR,17 day(s) ago
2017-02-06,XAUUSD Curncy,BUY,INSIDEBAR,17 day(s) ago
2017-02-06,XAUUSD Curncy,BUY,ENGULF,17 day(s) ago
2017-02-06,EURCHF Curncy,SELL,HAMMER,17 day(s) ago
2017-02-06,NZDCAD Curncy,BUY,INSIDEBAR,17 day(s) ago
2017-02-06,USDJPY Curncy,SELL,INSIDEBAR,17 day(s) ago
