,CCY,SIGNAL,TYPE,Date
2017-02-06,EURCHF Curncy,SELL,ENGULF,17 day(s) ago
2017-02-03,TY1 COMDTY,SELL,HAMMER,20 day(s) ago
2017-02-03,ES1 INDEX,BUY,INSIDEBAR,20 day(s) ago
2017-02-03,PPN+1M Curncy,SELL,HAMMER,20 day(s) ago
2017-02-03,NH1 INDEX,BUY,HAMMER,20 day(s) ago
2017-02-02,CCN+1M Curncy,SELL,INSIDEBAR,21 day(s) ago
2017-02-02,NTN+1M Curncy,SELL,INSIDEBAR,21 day(s) ago
2017-02-02,GBPUSD Curncy,SELL,ENGULF,21 day(s) ago
2017-02-02,GBPUSD Curncy,SELL,HAMMER,21 day(s) ago
2017-02-02,EURUSD Curncy,SELL,HAMMER,21 day(s) ago
2017-02-02,USDCHF Curncy,BUY,HAMMER,21 day(s) ago
2017-02-02,XAUUSD Curncy,BUY,INSIDEBAR,21 day(s) ago
2017-02-02,USDCNH Curncy,SELL,INSIDEBAR,21 day(s) ago
2017-02-02,EURAUD Curncy,SELL,ENGULF,21 day(s) ago
2017-02-02,EURAUD Curncy,SELL,INSIDEBAR,21 day(s) ago
2017-02-02,EURNZD Curncy,SELL,HAMMER,21 day(s) ago
2017-02-02,MRN+1M Curncy,SELL,HAMMER,21 day(s) ago
2017-02-02,KWN+1M Curncy,SELL,INSIDEBAR,21 day(s) ago
2017-02-02,AUDUSD Curncy,BUY,INSIDEBAR,21 day(s) ago
2017-02-01,EURCAD Curncy,SELL,HAMMER,22 day(s) ago
2017-02-01,EURAUD Curncy,SELL,HAMMER,22 day(s) ago
2017-02-01,GBPCHF Curncy,BUY,ENGULF,22 day(s) ago
2017-01-31,CCN+1M Curncy,SELL,ENGULF,23 day(s) ago
2017-01-31,AUDNZD Curncy,BUY,HAMMER,23 day(s) ago
2017-01-31,GBPNZD Curncy,BUY,HAMMER,23 day(s) ago
2017-01-31,GBPCAD Curncy,BUY,HAMMER,23 day(s) ago
2017-01-31,GBPCHF Curncy,BUY,HAMMER,23 day(s) ago
2017-01-31,GBPUSD Curncy,BUY,HAMMER,23 day(s) ago
