,CCY,SIGNAL,TYPE,Date
2017-02-14,IHN+1M Curncy,SELL,HAMMER,13 day(s) ago
2017-02-14,EURCHF Curncy,SELL,INSIDEBAR,13 day(s) ago
2017-02-13,EURJPY Curncy,SELL,HAMMER,14 day(s) ago
2017-02-13,EURGBP Curncy,SELL,ENGULF,14 day(s) ago
2017-02-13,GBPCHF Curncy,BUY,ENGULF,14 day(s) ago
2017-02-13,AUDCAD Curncy,SELL,ENGULF,14 day(s) ago
2017-02-13,MRN+1M Curncy,BUY,INSIDEBAR,14 day(s) ago
2017-02-13,AUDJPY Curncy,SELL,HAMMER,14 day(s) ago
2017-02-13,GBPCHF Curncy,BUY,INSIDEBAR,14 day(s) ago
2017-02-13,EURGBP Curncy,SELL,INSIDEBAR,14 day(s) ago
2017-02-10,EURJPY Curncy,SELL,HAMMER,17 day(s) ago
2017-02-10,EURAUD Curncy,SELL,INSIDEBAR,17 day(s) ago
2017-02-10,KWN+1M Curncy,SELL,HAMMER,17 day(s) ago
2017-02-10,USDCHF Curncy,SELL,HAMMER,17 day(s) ago
2017-02-09,USDCHF Curncy,BUY,ENGULF,18 day(s) ago
2017-02-09,USDJPY Curncy,BUY,ENGULF,18 day(s) ago
2017-02-09,USDCHF Curncy,BUY,INSIDEBAR,18 day(s) ago
2017-02-09,USDJPY Curncy,BUY,INSIDEBAR,18 day(s) ago
2017-02-09,NZDJPY Curncy,BUY,HAMMER,18 day(s) ago
2017-02-09,EURJPY Curncy,BUY,ENGULF,18 day(s) ago
2017-02-09,ES1 INDEX,BUY,INSIDEBAR,18 day(s) ago
2017-02-09,USDSGD Curncy,BUY,INSIDEBAR,18 day(s) ago
2017-02-09,AUDJPY Curncy,BUY,ENGULF,18 day(s) ago
2017-02-09,GBPAUD Curncy,SELL,HAMMER,18 day(s) ago
2017-02-09,AUDJPY Curncy,BUY,INSIDEBAR,18 day(s) ago
2017-02-09,GBPUSD Curncy,SELL,HAMMER,18 day(s) ago
2017-02-09,MRN+1M Curncy,BUY,INSIDEBAR,18 day(s) ago
2017-02-08,EURNZD Curncy,BUY,HAMMER,19 day(s) ago
2017-02-08,AUDNZD Curncy,BUY,ENGULF,19 day(s) ago
2017-02-07,NZDUSD Curncy,SELL,HAMMER,20 day(s) ago
2017-02-07,GBPUSD Curncy,BUY,HAMMER,20 day(s) ago
2017-02-07,GBPCHF Curncy,BUY,ENGULF,20 day(s) ago
2017-02-07,GBPNZD Curncy,BUY,HAMMER,20 day(s) ago
2017-02-07,GBPJPY Curncy,BUY,HAMMER,20 day(s) ago
2017-02-07,AUDNZD Curncy,BUY,HAMMER,20 day(s) ago
2017-02-07,USDCNH Curncy,BUY,ENGULF,20 day(s) ago
2017-02-07,GBPAUD Curncy,BUY,HAMMER,20 day(s) ago
2017-02-07,EURGBP Curncy,SELL,ENGULF,20 day(s) ago
2017-02-06,XAUUSD Curncy,BUY,ENGULF,21 day(s) ago
2017-02-06,EURCHF Curncy,SELL,ENGULF,21 day(s) ago
2017-02-06,EURCHF Curncy,SELL,HAMMER,21 day(s) ago
